codigo|referencia|minimo|maximo|soma|media|variancia|desvio_padrao|amplitude
07694|106/2 BR|12|76|519|43,25|370,02272727272725|19,235974819923406|64
07695|106/2 PR|12|108|527|43,916666666666664|878,2651515151516|29,635538657415214|96
09712|106/2 PR/CO|4|4|4|4,0|nan|nan|0
07629|106/3 BR|36|122|882|73,5|637,1818181818181|25,242460620585668|86
07677|106/3 PR|30|157|909|75,75|1669,840909090909|40,86368692483473|127
09490|106/3 PR/CO|1|2|7|1,75|0,25|0,5|1
07678|106/4 BR|4|50|244|24,4|296,71111111111117|17,225304383699903|46
07679|106/4 PR|2|50|280|23,333333333333332|286,06060606060606|16,913326286115517|48
08825|107/3 PR/PR --1,5 MT|4|4|4|4,0|nan|nan|0
08828|107/4 PR/PR --2 MT|12|12|12|12,0|nan|nan|0
09342|108/3 BR/BR|1|30|89|9,88888888888889|118,1111111111111|10,867893591267404|29
09341|108/3 PR|2|48|208|23,11111111111111|225,1111111111111|15,003703246569199|46
09340|108/4 BR|2|32|217|19,727272727272727|91,21818181818182|9,550821002310839|30
09579|108/4 BR/CO|2|2|4|2,0|0,0|0,0|0
09339|108/4 PR|4|60|395|32,916666666666664|464,62878787878793|21,5552496593936|56
09580|108/4 PR/CO|2|2|4|2,0|0,0|0,0|0
